executionId,originalExecutionId,account,executionTime,status,executionType,processName,processId,atomName,atomId,inboundDocumentCount,inboundErrorDocumentCount,outboundDocumentCount,executionDuration,message,parentExecutionId,topLevelExecutionId,inboundDocumentSize,outboundDocumentSize,launcherID,reportKey,nodeId
execution-0b86fd92-a1db-402b-9123-afd1769bd92f-2023.08.15,,eonitalyspa-AEYI78,20230814 200013.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,0,373,,,,0,0,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom02[worker-ca79d8aa-9c98-403b-a9fa-6f73ea8ee19e-2023.08.14]
execution-3d9b15dd-2323-480d-9264-0699dce16cbf-2023.08.15,,eonitalyspa-AEYI78,20230814 200013.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_GET_ConsumptionImprovements,7ed299d1-2f19-486e-8c35-577ba62ed504,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,219,,,,0,5026,3471bb8c-264c-414c-84e4-e858b0ebf22e,apim-azure,atom05[worker-c974de65-8269-4310-a6fc-fa8c7569386d-2023.08.14]
execution-3f68530d-e843-4917-89ac-4c5a83dbeb37-2023.08.15,,eonitalyspa-AEYI78,20230814 200013.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,292,,,,0,5073,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom01[worker-77b05c22-d786-447b-bad2-42a1f056b28e-2023.08.14]
execution-68eb3321-974e-4a4a-b2c9-c4a13fca4414-2023.08.15,,eonitalyspa-AEYI78,20230814 200013.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_GET_ConsumptionImprovements,7ed299d1-2f19-486e-8c35-577ba62ed504,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,0,240,,,,0,0,3471bb8c-264c-414c-84e4-e858b0ebf22e,apim-azure,atom02[worker-ca79d8aa-9c98-403b-a9fa-6f73ea8ee19e-2023.08.14]
execution-880128ca-aba0-4b17-bdda-5616abd6f5d5-2023.08.15,,eonitalyspa-AEYI78,20230814 200013.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_GET_ConsumptionImprovements,7ed299d1-2f19-486e-8c35-577ba62ed504,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,0,188,,,,0,0,3471bb8c-264c-414c-84e4-e858b0ebf22e,apim-azure,atom04[worker-71c76da1-8eaa-4e9f-964e-7305d6035126-2023.08.14]
execution-1bd716b3-3031-4ab5-9d58-62e643c83764-2023.08.15,,eonitalyspa-AEYI78,20230814 200017.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_POST_ENGAGEMENT_GameCoins,36f7425c-c0b5-4896-887e-b2362670b4e6,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,181,,,,55,168,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom04[worker-71c76da1-8eaa-4e9f-964e-7305d6035126-2023.08.14]
execution-a80043e9-3dd1-4948-9b02-1bd125bbffa0-2023.08.15,,eonitalyspa-AEYI78,20230814 200024.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_POST_ENGAGEMENT_GameCoins,36f7425c-c0b5-4896-887e-b2362670b4e6,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,136,,,,55,168,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom01[worker-77b05c22-d786-447b-bad2-42a1f056b28e-2023.08.14]
execution-18d3dbf1-6b25-4822-8f95-62774e62ef5f-2023.08.15,,eonitalyspa-AEYI78,20230814 200026.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,375,,,,0,12043,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom01[worker-77b05c22-d786-447b-bad2-42a1f056b28e-2023.08.14]
execution-c5a6d2df-3653-47e1-95f1-7606e7023e0f-2023.08.15,,eonitalyspa-AEYI78,20230814 200030.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_POST_ENGAGEMENT_GameCoins,36f7425c-c0b5-4896-887e-b2362670b4e6,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,185,,,,55,168,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom01[worker-77b05c22-d786-447b-bad2-42a1f056b28e-2023.08.14]
execution-66caef30-1702-4f69-8f46-3cca19a242c5-2023.08.15,,eonitalyspa-AEYI78,20230814 200031.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,358,,,,0,12039,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom01[worker-77b05c22-d786-447b-bad2-42a1f056b28e-2023.08.14]
execution-8f8c91b2-7b90-4e21-a634-43b2a300a6cb-2023.08.15,,eonitalyspa-AEYI78,20230814 200031.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_GET_ConsumptionImprovements,7ed299d1-2f19-486e-8c35-577ba62ed504,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,189,,,,0,5017,3471bb8c-264c-414c-84e4-e858b0ebf22e,apim-azure,atom01[worker-79dfe9a7-9e70-4a22-86b7-fb7f8be3bfe2-2023.08.14]
execution-3d729559-bbdd-4ea0-b234-6ae27156cb70-2023.08.15,,eonitalyspa-AEYI78,20230814 200035.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_GET_ConsumptionImprovements,7ed299d1-2f19-486e-8c35-577ba62ed504,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,220,,,,0,4908,3471bb8c-264c-414c-84e4-e858b0ebf22e,apim-azure,atom02[worker-532f66a4-ce30-4eec-b910-454f053695fb-2023.08.14]
execution-15fdbbdb-82a5-4d64-af2a-2bee0aabb917-2023.08.15,,eonitalyspa-AEYI78,20230814 200036.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_POST_ENGAGEMENT_GameCoins,36f7425c-c0b5-4896-887e-b2362670b4e6,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,177,,,,55,168,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom02[worker-532f66a4-ce30-4eec-b910-454f053695fb-2023.08.14]
execution-a566376d-33b2-4518-b470-9fc5f30f0273-2023.08.15,,eonitalyspa-AEYI78,20230814 200036.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,354,,,,0,12039,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom01[worker-77b05c22-d786-447b-bad2-42a1f056b28e-2023.08.14]
execution-ae248834-9051-4af8-b971-75631308ff28-2023.08.15,,eonitalyspa-AEYI78,20230814 200037.000,COMPLETE,exec_listener,MMI_CLOUD_GET_VERIFY_DISALIMENTAZIONE,83a8e651-c308-47b9-af2c-18ebb09cc0d7,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,0,1124,,,,0,0,5ad45aa2-5439-4d5c-9088-b90ca828d275,apim-azure,atom01[worker-77b05c22-d786-447b-bad2-42a1f056b28e-2023.08.14]
execution-688ab373-04c1-4315-b949-73c316d48991-2023.08.15,,eonitalyspa-AEYI78,20230814 200038.000,COMPLETE,exec_listener,MMI_CLOUD_QUALTRICS_CVM,f3978fbb-5c02-498c-a800-61c22ad26811,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,562,,,,0,460,6f4a3eb6-f979-4c70-aab7-663f1edc24c8,apim-azure,atom06[worker-fbe91e0e-dfc5-495b-bd89-e056d9ecd6bf-2023.08.14]
execution-735295fb-b224-44b5-92e5-5847ee9a9bb6-2023.08.15,,eonitalyspa-AEYI78,20230814 200041.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_POST_ENGAGEMENT_GameCoins,36f7425c-c0b5-4896-887e-b2362670b4e6,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,137,,,,55,168,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom02[worker-532f66a4-ce30-4eec-b910-454f053695fb-2023.08.14]
execution-b8e5a47c-eefb-4ac6-b844-1dd6bcc2a19e-2023.08.15,,eonitalyspa-AEYI78,20230814 200047.000,COMPLETE,exec_listener,MMI_CLOUD_POST_ENGAGEMENT,6ac8662e-3981-40f1-9db2-80d06a39a71c,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,2172,,,,126,683,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom02[worker-ca79d8aa-9c98-403b-a9fa-6f73ea8ee19e-2023.08.14]
