environmentId,processId,processName,packageId,componentType
497b3021-ef13-4e59-93b8-f30e245a317a,9248586a-fd1f-4cda-b912-ffd46dda4114,HNK_GLO_PRC_05450_SRM_SPINQUE_GetContracts,b6967ac2-9a8c-4cfd-9efb-5c59f0cebbac,process
497b3021-ef13-4e59-93b8-f30e245a317a,9fc5e13c-b557-48be-bd6b-154a5033f338,HNK_GLO_PRC_05460_SRM_Spinque_Contracts_Put,511a7d66-ab84-47ec-bbc0-6b134bdb2f5c,process
497b3021-ef13-4e59-93b8-f30e245a317a,9248586a-fd1f-4cda-b912-ffd46dda4114,HNK_GLO_PRC_05450_SRM_SPINQUE_GetContracts,ac8a180c-aa11-4706-91b2-846966c73777,process
497b3021-ef13-4e59-93b8-f30e245a317a,9fc5e13c-b557-48be-bd6b-154a5033f338,HNK_GLO_PRC_05460_SRM_Spinque_Contracts_Put,e77503ab-a763-4924-b9e6-69ec618a775a,process
497b3021-ef13-4e59-93b8-f30e245a317a,9248586a-fd1f-4cda-b912-ffd46dda4114,HNK_GLO_PRC_05450_SRM_SPINQUE_GetContracts,1199711c-47bf-4557-8dab-7d126dec372e,process
497b3021-ef13-4e59-93b8-f30e245a317a,9fc5e13c-b557-48be-bd6b-154a5033f338,HNK_GLO_PRC_05460_SRM_Spinque_Contracts_Put,ed6e2254-e023-43f4-a2d6-aceeb83661c5,process
497b3021-ef13-4e59-93b8-f30e245a317a,9248586a-fd1f-4cda-b912-ffd46dda4114,HNK_GLO_PRC_05450_SRM_SPINQUE_GetContracts,c5d3e41a-1d8a-479f-b323-d9ba728f04d8,process
497b3021-ef13-4e59-93b8-f30e245a317a,9248586a-fd1f-4cda-b912-ffd46dda4114,HNK_GLO_PRC_05450_SRM_SPINQUE_GetContracts,7332aab9-4c65-4232-8c3f-2b10928beaf4,process
497b3021-ef13-4e59-93b8-f30e245a317a,ae06f696-5210-40c9-8162-7e804e8c992b,HNK_GLO_PR_05050_Main_ProcessJDESalesOrder,2d70dfba-d70b-4bac-835b-230f8be33dff,process
497b3021-ef13-4e59-93b8-f30e245a317a,ae06f696-5210-40c9-8162-7e804e8c992b,HNK_GLO_PR_05050_Main_ProcessJDESalesOrder,77078a9f-e7c4-42c8-8160-474ef3e52853,process
