originalExecutionId,account,executionTime,status,executionType,processName,processId,atomName,atomId,inboundDocumentCount,inboundErrorDocumentCount,outboundDocumentCount,executionDuration,message,parentExecutionId,topLevelExecutionId,inboundDocumentSize,outboundDocumentSize,launcherID,reportKey,nodeId,is_outlier,is_outliertxt,nodeIdtxt,executionId
0.0,eonitalyspa-AEYI78,2023-08-17 07:32:49,COMPLETE,exec_listener_bridge,MMI_DVC_RLT_SMR_MyEON,42a1ba31-ddeb-4b13-89d2-2daace77ab58,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,3.0,7479.0,0,0,0,122.0,1145.0,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom03[worker-7a851859-7beb-4036-a044-ade271ae3a16-2023.08.17],red,red,atom03,2023-08-17 07:32:49
0.0,eonitalyspa-AEYI78,2023-08-17 07:33:19,COMPLETE,exec_listener_bridge,MMI_DVC_RLT_SMR,d9440076-4f75-4230-8f12-77337487a437,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,9188.0,0,0,0,305.0,967.0,a04d7436-4a3b-4e0d-b78c-0592f7eff6d0,apim-azure,atom03[worker-7a851859-7beb-4036-a044-ade271ae3a16-2023.08.17],red,red,atom03,2023-08-17 07:33:19
0.0,eonitalyspa-AEYI78,2023-08-17 07:33:22,COMPLETE,exec_listener_bridge,MMI_DVC_MyEON_DOCFLOW_GET_DOCUMENT,03e7e723-bb05-406e-aa98-7d0363cdd879,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,5561.0,0,0,0,0.0,770.0,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom02[worker-1b77a1c6-6f7b-4900-b5df-04e05fb6eb27-2023.08.17],red,red,atom02,2023-08-17 07:33:22
0.0,eonitalyspa-AEYI78,2023-08-17 07:33:59,COMPLETE,exec_listener,Queue_Check_IBAN,f5b9394b-56b3-456d-b524-3cfde617a98b,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,5070.0,0,0,0,173.0,249.0,0,0,atom06[execution-c68f2cb7-9fcb-4e76-a4a4-444bca2aceba-2023.08.17],red,red,atom06,2023-08-17 07:33:59
0.0,eonitalyspa-AEYI78,2023-08-17 07:34:30,COMPLETE,exec_listener,Queue_Check_IBAN,f5b9394b-56b3-456d-b524-3cfde617a98b,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,4789.0,0,0,0,80.0,179.0,0,0,atom05[execution-41819e11-3ee1-4f86-a18f-e06be23044a8-2023.08.17],red,red,atom05,2023-08-17 07:34:30
0.0,eonitalyspa-AEYI78,2023-08-17 07:36:32,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB,e23981ff-d8bf-4d49-b0d2-0fcafba68c90,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,8049.0,0,0,0,1057.0,1902.0,0,0,atom04[execution-ee7da91b-0616-4f44-8023-71f3922a6c0f-2023.08.17],red,red,atom04,2023-08-17 07:36:32
0.0,eonitalyspa-AEYI78,2023-08-17 07:36:33,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB_NOTIFYMESSAGE,8468e90b-26d9-4f30-bf5d-3fb3fa426256,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,6973.0,0,0,0,2047.0,81.0,d6ba2d62-393e-4036-9c3e-5ca9e67ebd25,apim-azure,atom04[worker-e8b7f940-7bac-4773-bdcd-6b3c505b1726-2023.08.17],red,red,atom04,2023-08-17 07:36:33
0.0,eonitalyspa-AEYI78,2023-08-17 07:36:36,COMPLETE,exec_listener,Queue_Check_IBAN,f5b9394b-56b3-456d-b524-3cfde617a98b,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,5191.0,0,0,0,145.0,221.0,0,0,atom05[execution-115f6023-d729-4522-b0a4-3d10884fb2b4-2023.08.17],red,red,atom05,2023-08-17 07:36:36
0.0,eonitalyspa-AEYI78,2023-08-17 07:36:40,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB_NOTIFYMESSAGE,8468e90b-26d9-4f30-bf5d-3fb3fa426256,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,6601.0,0,0,0,1467.0,81.0,d6ba2d62-393e-4036-9c3e-5ca9e67ebd25,apim-azure,atom02[worker-1b77a1c6-6f7b-4900-b5df-04e05fb6eb27-2023.08.17],red,red,atom02,2023-08-17 07:36:40
0.0,eonitalyspa-AEYI78,2023-08-17 07:37:34,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB,e23981ff-d8bf-4d49-b0d2-0fcafba68c90,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,7709.0,0,0,0,1002.0,1844.0,0,0,atom04[execution-ba0e92a8-40ef-4f30-9f83-907050e45485-2023.08.17],red,red,atom04,2023-08-17 07:37:34
